City Name,Latitude,Longitude,Cloudiness,Temperature,Humidity,Wind Speed,Country
Leningradskiy,69.38,178.42,100,52.05,68,7.09,RU
Castro,-24.79,-50.01,100,66.16,82,10.18,BR
Te Anau,-45.42,167.72,78,35.55,86,0.6,NZ
Iqaluit,63.75,-68.51,21,42.01,100,18.01,CA
Chokurdakh,70.63,147.92,100,39.79,95,10.33,RU
Wanaka,-44.7,169.15,15,32.0,81,1.99,NZ
Punta Arenas,-53.15,-70.92,40,35.01,74,23.0,CL
Atuona,-9.8,-139.03,34,77.58,74,16.42,PF
New Norfolk,-42.78,147.06,100,53.01,90,3.33,AU
Sambava,-14.27,50.17,60,73.6,76,14.9,MG
Atambua,-9.11,124.89,5,68.72,89,3.85,ID
Puerto Ayora,-0.74,-90.35,99,66.0,90,1.01,EC
Zhangye,38.93,100.45,100,66.51,47,8.93,CN
Yellowknife,62.46,-114.35,100,55.99,82,5.01,CA
Pātūr,20.45,76.93,100,76.1,90,11.25,IN
Vaini,-21.2,-175.2,86,70.05,71,16.84,TO
Tiksi,71.69,128.87,18,40.19,82,5.84,RU
Mataura,-46.19,168.86,85,37.99,96,1.99,NZ
Rikitea,-23.12,-134.97,0,69.87,81,16.11,PF
Berlevåg,70.86,29.09,100,49.33,78,27.51,NO
Avarua,-21.21,-159.78,94,70.9,78,14.5,CK
George Town,5.41,100.34,18,80.01,83,3.0,MY
Cape Town,-33.93,18.42,82,55.99,83,5.03,ZA
Port Elizabeth,-33.92,25.57,8,55.0,57,10.0,ZA
Esperance,-33.87,121.9,0,52.74,67,25.39,AU
Hermanus,-34.42,19.23,86,55.99,56,3.0,ZA
Concordia,-31.39,-58.02,0,61.0,30,8.01,AR
Albany,42.6,-73.97,56,73.99,66,5.46,US
Rocha,-34.48,-54.33,0,53.44,43,14.43,UY
Puerto Cabezas,14.04,-83.39,100,82.74,82,8.34,NI
Cairns,-16.92,145.77,8,59.0,93,4.85,AU
Roebourne,-20.78,117.13,21,71.87,64,9.6,AU
Qaanaaq,77.48,-69.36,11,41.52,63,5.19,GL
Bethel,41.37,-73.41,100,64.99,96,1.99,US
Kirakira,-10.45,161.92,1,77.94,80,3.27,SB
Fortuna,40.6,-124.16,78,63.0,85,0.74,US
Hay River,60.82,-115.8,100,51.26,73,8.55,CA
Hambantota,6.12,81.12,56,81.57,70,20.33,LK
Taksimo,56.34,114.88,22,48.51,80,0.54,RU
Hamilton,39.18,-84.53,5,82.99,77,5.55,US
Barrow,71.29,-156.79,100,40.64,90,9.95,US
Bābra,21.85,71.3,62,79.83,85,17.43,IN
Ol'ga,43.74,135.29,0,65.5,90,5.32,RU
Amga,60.9,131.96,100,50.56,62,3.47,RU
Quimper,48.0,-4.1,95,71.01,71,3.0,FR
Isla Mujeres,21.23,-86.73,18,87.01,82,4.0,MX
Adrar,20.5,-10.07,0,112.05,10,10.11,MR
Birjand,32.87,59.22,0,75.51,28,8.61,IR
Dikson,73.51,80.55,71,42.73,94,11.32,RU
Altamira,-3.2,-52.21,58,98.69,29,5.88,BR
Nísia Floresta,-6.09,-35.21,95,84.49,56,15.17,BR
Gubkinskiy,64.43,76.5,94,55.04,95,7.36,RU
Graham,47.05,-122.29,0,69.01,81,1.81,US
Tomaszów Lubelski,50.45,23.42,0,79.0,54,1.99,PL
Cidreira,-30.18,-50.21,0,59.38,47,6.29,BR
Balikpapan,-1.27,116.83,84,78.37,88,6.42,ID
Khatanga,71.97,102.5,92,61.48,74,7.31,RU
Yerbogachën,61.28,108.01,0,47.01,68,3.89,RU
Beni Suef,29.07,31.1,0,99.68,13,9.6,EG
